"","x"
"1","6.9105"
"2","6.895"
"3","6.885"
"4","6.911"
"5","6.912"
"6","6.942"
"7","6.889"
"8","6.9195"
"9","6.882"
"10","6.8845"
"11","6.8855"
"12","6.8895"
"13","6.9205"
"14","6.8885"
"15","6.905"
"16","6.909"
"17","6.8965"
"18","6.926"
"19","6.8625"
"20","6.8825"
"21","6.9115"
"22","6.8945"
"23","6.9125"
"24","6.9275"
"25","6.927"
"26","6.894"
"27","6.8955"
"28","6.908"
"29","6.897"
"30","6.9425"
"31","6.9085"
"32","6.9465"
"33","6.928"
"34","6.8935"
"35","6.9325"
"36","6.898"
"37","6.924"
"38","6.947"
"39","6.9055"
"40","6.9265"
"41","6.936"
"42","6.8865"
"43","6.929"
"44","6.887"
"45","6.9075"
"46","6.8815"
"47","6.9435"
"48","6.9285"
"49","6.862"
"50","6.896"
"51","6.852"
"52","6.9475"
"53","6.9135"
"54","6.886"
"55","6.8665"
"56","6.8755"
"57","6.9415"
"58","6.945"
"59","6.883"
"60","6.863"
"61","6.906"
"62","6.8975"
"63","6.921"
"64","6.9395"
"65","6.9405"
"66","6.8595"
"67","6.875"
"68","6.888"
"69","6.9235"
"70","6.9335"
"71","6.9255"
"72","6.94"
"73","6.91"
"74","6.907"
"75","6.9245"
"76","6.8875"
"77","6.854"
"78","6.9095"
"79","6.86"
"80","6.893"
"81","6.9215"
"82","6.9355"
"83","6.933"
"84","6.861"
"85","6.935"
"86","6.8785"
"87","6.944"
"88","6.914"
"89","6.876"
"90","6.874"
"91","6.8615"
"92","6.943"
"93","6.8735"
"94","6.859"
"95","6.922"
"96","6.8515"
"97","6.934"
"98","6.8585"
"99","6.923"
"100","6.913"
"101","6.881"
"102","6.9385"
"103","6.8545"
"104","6.92"
"105","6.8505"
"106","6.8985"
"107","6.9495"
"108","6.941"
"109","6.853"
"110","6.8605"
"111","6.873"
"112","6.9045"
"113","6.8565"
"114","6.948"
"115","6.9445"
"116","6.8535"
"117","6.877"
"118","6.9345"
"119","6.8635"
"120","6.8525"
"121","6.9065"
"122","6.867"
"123","6.8765"
"124","6.925"
"125","6.855"
"126","6.8725"
"127","6.901"
"128","6.8835"
"129","6.9225"
"130","6.946"
"131","6.8555"
"132","6.8675"
"133","6.868"
"134","6.8695"
"135","6.8805"
"136","6.87"
"137","6.9375"
"138","6.938"
"139","6.884"
"140","6.8925"
"141","6.8745"
"142","6.9145"
"143","6.866"
"144","6.878"
"145","6.858"
"146","6.8775"
"147","6.879"
"148","6.8995"
