"","x"
"1","3.1535"
"2","3.2475"
"3","3.154"
"4","3.1575"
"5","3.2105"
"6","3.1585"
"7","3.211"
"8","3.158"
"9","3.21"
"10","3.2115"
"11","3.2415"
"12","3.1945"
"13","3.1765"
"14","3.2405"
"15","3.212"
"16","3.245"
"17","3.166"
"18","3.2325"
"19","3.203"
"20","3.1595"
"21","3.2485"
"22","3.19"
"23","3.194"
"24","3.1825"
"25","3.176"
"26","3.2035"
"27","3.2095"
"28","3.1615"
"29","3.1505"
"30","3.2165"
"31","3.185"
"32","3.161"
"33","3.214"
"34","3.157"
"35","3.1735"
"36","3.23"
"37","3.2295"
"38","3.1845"
"39","3.248"
"40","3.2175"
"41","3.159"
"42","3.1755"
"43","3.2085"
"44","3.217"
"45","3.1665"
"46","3.174"
"47","3.234"
"48","3.204"
"49","3.167"
"50","3.186"
"51","3.2375"
"52","3.1745"
"53","3.195"
"54","3.1855"
"55","3.2305"
"56","3.191"
"57","3.181"
"58","3.1565"
"59","3.1915"
"60","3.216"
"61","3.218"
"62","3.209"
"63","3.2195"
"64","3.229"
"65","3.162"
"66","3.243"
"67","3.1815"
"68","3.1675"
"69","3.249"
"70","3.24"
"71","3.155"
"72","3.1805"
"73","3.1625"
"74","3.1895"
"75","3.2135"
"76","3.208"
"77","3.1605"
"78","3.244"
"79","3.242"
"80","3.2125"
"81","3.1545"
"82","3.2215"
"83","3.151"
"84","3.233"
"85","3.2455"
"86","3.1515"
"87","3.225"
"88","3.202"
"89","3.179"
"90","3.1865"
"91","3.192"
"92","3.241"
"93","3.1905"
"94","3.2335"
"95","3.237"
"96","3.2185"
"97","3.1555"
"98","3.2385"
"99","3.156"
"100","3.2435"
"101","3.232"
"102","3.231"
"103","3.2445"
"104","3.1655"
"105","3.1775"
"106","3.184"
"107","3.177"
"108","3.153"
"109","3.189"
"110","3.2285"
"111","3.152"
"112","3.2395"
"113","3.2345"
"114","3.1695"
"115","3.1795"
"116","3.17"
"117","3.246"
"118","3.2365"
"119","3.2155"
"120","3.1685"
"121","3.1995"
"122","3.1925"
"123","3.168"
"124","3.18"
"125","3.1785"
"126","3.169"
"127","3.173"
"128","3.2"
"129","3.2245"
"130","3.175"
"131","3.165"
"132","3.1525"
"133","3.171"
"134","3.163"
"135","3.247"
"136","3.1965"
"137","3.164"
"138","3.215"
"139","3.2055"
"140","3.222"
"141","3.1875"
"142","3.219"
"143","3.188"
"144","3.1715"
"145","3.2015"
"146","3.236"
"147","3.207"
"148","3.228"
"149","3.193"
"150","3.205"
"151","3.224"
"152","3.2145"
"153","3.16"
"154","3.183"
"155","3.187"
"156","3.172"
"157","3.1985"
"158","3.2425"
"159","3.238"
"160","3.1935"
"161","3.2315"
"162","3.2205"
"163","3.2235"
"164","3.198"
"165","3.199"
"166","3.197"
"167","3.178"
"168","3.1645"
"169","3.1975"
"170","3.22"
"171","3.1725"
"172","3.1955"
"173","3.221"
"174","3.2025"
"175","3.182"
"176","3.2225"
"177","3.2465"
"178","3.2355"
"179","3.196"
"180","3.1705"
