"","x"
"1","3.0275"
"2","3.09"
"3","3.0975"
"4","3.05"
"5","3.0855"
"6","3.0805"
"7","3.098"
"8","3.027"
"9","3.0505"
"10","3.0005"
"11","3.0895"
"12","3.0815"
"13","3.0135"
"14","3.028"
"15","3.0115"
"16","3.003"
"17","3.082"
"18","3.081"
"19","3.0985"
"20","3.0945"
"21","3.022"
"22","3.097"
"23","3.0285"
"24","3.029"
"25","3.0145"
"26","3.048"
"27","3.0215"
"28","3.0875"
"29","3.021"
"30","3.0965"
"31","3.0035"
"32","3.0485"
"33","3.015"
"34","3.0185"
"35","3.052"
"36","3.0065"
"37","3.08"
"38","3.0865"
"39","3.0525"
"40","3.014"
"41","3.039"
"42","3.087"
"43","3.004"
"44","3.026"
"45","3.0055"
"46","3.099"
"47","3.032"
"48","3.0085"
"49","3.089"
"50","3.086"
"51","3.0995"
"52","3.035"
"53","3.092"
"54","3.012"
"55","3.0345"
"56","3.0435"
"57","3.031"
"58","3.0825"
"59","3.0495"
"60","3.0315"
"61","3.0915"
"62","3.019"
"63","3.0125"
"64","3.0905"
"65","3.0885"
"66","3.0395"
"67","3.0465"
"68","3.0325"
"69","3.0265"
"70","3.049"
"71","3.0725"
"72","3.0025"
"73","3.047"
"74","3.0425"
"75","3.084"
"76","3.085"
"77","3.043"
"78","3.013"
"79","3.0835"
"80","3.051"
"81","3.011"
"82","3.094"
"83","3.0515"
"84","3.079"
"85","3.008"
"86","3.018"
"87","3.0455"
"88","3.005"
"89","3.0785"
"90","3.0095"
"91","3.01"
"92","3.0845"
"93","3.046"
"94","3.02"
"95","3.009"
"96","3.0205"
"97","3.0735"
"98","3.0045"
"99","3.0385"
"100","3.0355"
"101","3.044"
"102","3.0475"
"103","3.042"
"104","3.0015"
"105","3.0575"
"106","3.001"
"107","3.073"
"108","3.034"
"109","3.074"
"110","3.007"
"111","3.045"
"112","3.006"
"113","3.088"
"114","3.023"
"115","3.0225"
"116","3.053"
"117","3.091"
"118","3.057"
"119","3.0775"
"120","3.0195"
"121","3.0255"
"122","3.0405"
"123","3.0155"
"124","3.0955"
"125","3.095"
"126","3.016"
"127","3.072"
"128","3.0105"
"129","3.096"
"130","3.075"
"131","3.041"
"132","3.0305"
"133","3.0235"
"134","3.036"
"135","3.054"
"136","3.093"
"137","3.0075"
"138","3.0175"
"139","3.055"
"140","3.033"
"141","3.0565"
"142","3.056"
"143","3.0445"
"144","3.0545"
"145","3.0935"
"146","3.078"
"147","3.06"
"148","3.002"
"149","3.0415"
"150","3.0595"
"151","3.059"
"152","3.025"
"153","3.0745"
"154","3.077"
"155","3.0795"
"156","3.0925"
"157","3.038"
"158","3.083"
"159","3.0295"
"160","3.0675"
"161","3.0695"
"162","3.0645"
"163","3.0755"
"164","3.0335"
"165","3.0685"
"166","3.065"
"167","3.066"
"168","3.0535"
"169","3.017"
"170","3.076"
"171","3.0555"
"172","3.0625"
"173","3.0605"
"174","3.04"
"175","3.0765"
"176","3.0365"
"177","3.0245"
"178","3.0705"
"179","3.0665"
"180","3.0165"
"181","3.0715"
"182","3.0375"
"183","3.064"
"184","3.067"
"185","3.0655"
"186","3.063"
"187","3.03"
"188","3.061"
"189","3.0615"
"190","3.068"
"191","3.071"
"192","3.0585"
"193","3.058"
"194","3.0635"
"195","3.024"
