"","x"
"1","3.1795"
"2","3.2475"
"3","3.2325"
"4","3.1595"
"5","3.248"
"6","3.1765"
"7","3.217"
"8","3.233"
"9","3.1555"
"10","3.2135"
"11","3.2175"
"12","3.176"
"13","3.214"
"14","3.1725"
"15","3.232"
"16","3.247"
"17","3.2165"
"18","3.2335"
"19","3.1655"
"20","3.174"
"21","3.1745"
"22","3.1925"
"23","3.1535"
"24","3.2085"
"25","3.1915"
"26","3.209"
"27","3.154"
"28","3.18"
"29","3.1735"
"30","3.192"
"31","3.208"
"32","3.191"
"33","3.166"
"34","3.2095"
"35","3.21"
"36","3.1905"
"37","3.175"
"38","3.216"
"39","3.1675"
"40","3.1665"
"41","3.234"
"42","3.2255"
"43","3.167"
"44","3.2495"
"45","3.155"
"46","3.2365"
"47","3.179"
"48","3.1755"
"49","3.19"
"50","3.231"
"51","3.2105"
"52","3.213"
"53","3.159"
"54","3.226"
"55","3.193"
"56","3.249"
"57","3.1625"
"58","3.173"
"59","3.161"
"60","3.238"
"61","3.177"
"62","3.241"
"63","3.172"
"64","3.1545"
"65","3.1585"
"66","3.1805"
"67","3.2485"
"68","3.163"
"69","3.1615"
"70","3.156"
"71","3.162"
"72","3.24"
"73","3.2145"
"74","3.1935"
"75","3.1895"
"76","3.1785"
"77","3.1715"
"78","3.1505"
"79","3.2315"
"80","3.2405"
"81","3.2125"
"82","3.2265"
"83","3.1815"
"84","3.2375"
"85","3.158"
"86","3.2345"
"87","3.218"
"88","3.181"
"89","3.184"
"90","3.1605"
"91","3.2395"
"92","3.1835"
"93","3.211"
"94","3.2465"
"95","3.2075"
"96","3.1575"
"97","3.205"
"98","3.2435"
"99","3.2385"
