"","x"
"1","3.0025"
"2","3.015"
"3","3.052"
"4","3.048"
"5","3.0525"
"6","3.02"
"7","3.0145"
"8","3.081"
"9","3.053"
"10","3.0135"
"11","3.027"
"12","3.0965"
"13","3.0515"
"14","3.05"
"15","3.0995"
"16","3.043"
"17","3.049"
"18","3.0435"
"19","3.0495"
"20","3.0815"
"21","3.0265"
"22","3.003"
"23","3.0535"
"24","3.0445"
"25","3.097"
"26","3.022"
"27","3.08"
"28","3.098"
"29","3.0485"
"30","3.014"
"31","3.021"
"32","3.0985"
"33","3.0865"
"34","3.007"
"35","3.087"
"36","3.099"
"37","3.0005"
"38","3.0805"
"39","3.0065"
"40","3.054"
"41","3.045"
"42","3.0155"
"43","3.006"
"44","3.072"
"45","3.086"
"46","3.082"
"47","3.0425"
"48","3.0545"
"49","3.0075"
"50","3.0475"
"51","3.055"
"52","3.0275"
"53","3.0975"
"54","3.0735"
"55","3.0455"
"56","3.0555"
"57","3.013"
"58","3.073"
"59","3.0945"
"60","3.035"
"61","3.047"
"62","3.044"
"63","3.0215"
"64","3.051"
"65","3.096"
"66","3.095"
"67","3.0055"
"68","3.0715"
"69","3.0795"
"70","3.0895"
"71","3.0115"
"72","3.092"
"73","3.028"
"74","3.0505"
"75","3.0465"
"76","3.0875"
"77","3.0125"
"78","3.0255"
"79","3.0725"
"80","3.0325"
"81","3.046"
"82","3.078"
"83","3.0285"
"84","3.077"
"85","3.0315"
"86","3.042"
"87","3.0825"
"88","3.036"
"89","3.0035"
"90","3.0185"
"91","3.0365"
"92","3.056"
"93","3.012"
"94","3.084"
"95","3.001"
"96","3.0205"
"97","3.0955"
"98","3.0355"
"99","3.0775"
"100","3.019"
"101","3.016"
"102","3.002"
"103","3.089"
"104","3.026"
"105","3.093"
"106","3.09"
"107","3.032"
"108","3.083"
"109","3.075"
"110","3.074"
"111","3.0915"
"112","3.071"
"113","3.0855"
"114","3.0925"
"115","3.0225"
"116","3.0785"
"117","3.0345"
"118","3.0745"
"119","3.076"
"120","3.0845"
"121","3.005"
"122","3.0015"
"123","3.029"
"124","3.079"
"125","3.008"
"126","3.0765"
"127","3.091"
"128","3.0605"
"129","3.004"
"130","3.031"
"131","3.01"
"132","3.0905"
"133","3.0045"
"134","3.0195"
"135","3.025"
"136","3.0165"
"137","3.0095"
"138","3.0085"
"139","3.0885"
"140","3.085"
"141","3.0585"
"142","3.0935"
"143","3.057"
"144","3.03"
"145","3.059"
"146","3.0105"
"147","3.0295"
"148","3.0565"
"149","3.017"
"150","3.0385"
"151","3.037"
"152","3.058"
"153","3.0675"
"154","3.07"
"155","3.088"
"156","3.0695"
"157","3.06"
"158","3.0835"
"159","3.0705"
"160","3.0575"
"161","3.0755"
"162","3.0335"
"163","3.009"
"164","3.039"
"165","3.0375"
"166","3.068"
"167","3.04"
"168","3.0415"
"169","3.0395"
"170","3.0655"
"171","3.011"
"172","3.038"
"173","3.033"
"174","3.0595"
"175","3.062"
"176","3.094"
"177","3.034"
"178","3.063"
"179","3.0615"
"180","3.0645"
"181","3.0175"
"182","3.0625"
"183","3.0685"
"184","3.067"
"185","3.041"
"186","3.0235"
"187","3.066"
"188","3.0635"
"189","3.061"
"190","3.024"
"191","3.065"
"192","3.064"
"193","3.069"
"194","3.0245"
"195","3.018"
"196","3.0405"
"197","3.0305"
"198","3.023"
"199","3.0665"
